,airplane,automobile,deer,dog,frog,horse,ship,truck,bird,cat
bird,0.9508440336472048,0.7150319109141083,0.969777601775617,0.9475553989368927,0.9453321892639069,0.9085222788248051,0.8613807535656013,0.7351153385966176,1.0,0.9664404944752462
cat,0.9172309916986798,0.7191857263534744,0.9583280649738567,0.9865380049446398,0.9494355817705518,0.9167867394961352,0.8436109925409516,0.7424999551279313,0.9663839430937793,1.0
