,airplane,automobile,deer,dog,frog,horse,ship,truck
ship,0.9841415331696084,0.7797274739288519,0.8686857025386328,0.8386022540832775,0.8533209491218838,0.827469094380272,1.0,0.8480529927774736
truck,0.8812479012516051,0.958721319768383,0.8133267825264676,0.8146163291576554,0.8110959343700433,0.8309116750353291,0.8900800578905164,1.0
