,airplane,automobile,deer,dog,frog,horse,ship,truck
ship,0.9930204602175481,0.9306704622381612,0.7834047149582084,0.7696979481085435,0.7533821199850631,0.804496622197835,1.0,0.9653276722946408
truck,0.9331687013404364,0.9181087806726246,0.800858692463689,0.7914680281258905,0.7851893787369222,0.8218805929047615,0.9493258257556761,1.0
