,airplane,automobile,deer,dog,frog,horse,ship,truck
ship,0.990314423774875,0.7770518645751765,0.8743654589642422,0.8017125806296762,0.7503670726393952,0.848588479482928,1.0,0.9576001199337069
truck,0.9316587185528843,0.9089892512339829,0.820506178084828,0.8011004971018201,0.7224837209194634,0.8564975485090819,0.9587640855979395,1.0
