,airplane,automobile,deer,dog,frog,horse,ship,truck,bird,cat
bird,0.9450313852352892,0.7575241046920311,0.9617110456938441,0.9349970967631025,0.9356112282270062,0.8860901596818781,0.8644329489548603,0.7571777817576656,1.0,0.9574242489943229
cat,0.9064298959086282,0.7544796460021786,0.9579822473612224,0.9805611016042606,0.9345556620549541,0.901362881476061,0.8443837175219393,0.7645058788190368,0.9557389692517191,1.0
