,airplane,automobile,deer,dog,frog,horse,ship,truck
ship,0.9905973362498306,0.7514235626711094,0.8907078941298266,0.8245039590920215,0.8086097150083925,0.8421017282452561,1.0,0.8920558046035634
truck,0.8849086509779532,0.9428141612306548,0.8272928017938858,0.8094876819114487,0.7842868383608225,0.8387273983741809,0.9124824673510543,1.0
