,airplane,automobile,deer,dog,frog,horse,ship,truck,bird,cat
bird,0.9406773921373061,0.7324845369053337,0.9827617502068187,0.9479439354566624,0.9565221036564683,0.9289855979710481,0.8420518322577639,0.6938120766018424,1.0,0.9747607748067564
cat,0.899430592346758,0.7347128193082297,0.973508086053815,0.9890198901186648,0.957105850905897,0.9384460636449687,0.8161972057550098,0.7177172993719849,0.9738621924946722,1.0
