,airplane,automobile,deer,dog,frog,horse,ship,truck,bird,cat
bird,0.9416408517483469,0.772876108304277,0.9603911977685865,0.9251717627075281,0.9371435743043407,0.8927997076980049,0.8641792658344245,0.7520337210162596,1.0,0.9537638106182318
cat,0.8991102834055738,0.7700181052229021,0.9549915725134903,0.9772381311505441,0.937375618522686,0.9082591707834654,0.8390494824834642,0.7606087714055149,0.9533488645123591,1.0
