,airplane,automobile,deer,dog,frog,horse
frog,0.8101518616545482,0.32352854184727664,0.9764612568928499,0.9008849610887623,1.0,0.9889733785165631
horse,0.8336404235892542,0.294971380968275,0.9701507314978535,0.9125358990697551,0.9887015648748624,1.0
