,airplane,automobile,deer,dog,frog,horse
frog,0.7882121352011415,0.7168200108713858,0.8837043783586088,0.8279058560020889,1.0,0.7833576195667752
horse,0.8788747736526545,0.6199992070383169,0.9310297293407759,0.9241474804465664,0.6459488095216863,1.0
