,airplane,automobile,deer,dog,frog,horse,ship,truck
ship,0.977270155695875,0.8121987771559208,0.8677047794730739,0.8281157880937497,0.8462896390446115,0.8244195472728756,1.0,0.8440013132638933
truck,0.8839800647791171,0.9568720976828358,0.8255581141515944,0.811663832166615,0.8065746811372277,0.8343506974010828,0.8810005126815272,1.0
