,airplane,automobile,deer,dog,frog,horse
frog,0.7008765197289656,0.3658513787519988,0.9961127677987398,0.9465626562144582,1.0,0.9905966775058375
horse,0.7317373135977397,0.3404754885326039,0.9804094423518562,0.9581526432564856,0.9892251122613144,1.0
