,airplane,automobile,deer,dog,frog,horse,ship,truck
ship,0.9693454434274966,0.8990398034926821,0.8306594387949365,0.8054699466471302,0.7908227989539234,0.8230566761972014,1.0,0.8816058924866298
truck,0.8879956037020311,0.976987415693081,0.8184293412562287,0.8007648713516344,0.7859162597413238,0.8363927440599889,0.893513764195712,1.0
