,airplane,automobile,deer,dog,frog,horse
frog,0.7947484061754421,0.6640368511807655,0.8882388995013659,0.8518256902976009,1.0,0.8011501528448257
horse,0.872408859695101,0.5696949136952323,0.9405194904331158,0.9021962904513223,0.7151804457252287,1.0
