,airplane,automobile,deer,dog,frog,horse
frog,0.6600422858710564,0.6350512700104646,0.9475121105503788,0.8868006779787138,1.0,0.8705936555893865
horse,0.6870084034412056,0.5285979930260387,0.9619641529202968,0.9697965149200481,0.8526329356924107,1.0
