,airplane,automobile,deer,dog,frog,horse
frog,0.6380375402985039,0.43194924791232836,0.9916117461397822,0.9530699450261625,1.0,0.9853315206232232
horse,0.6668199525256953,0.3819542447973687,0.9879180411853149,0.9791318966969409,0.9841758647946801,1.0
