,airplane,automobile,deer,dog,frog,horse
frog,0.7916022036631039,0.6992320547560074,0.8928841263632709,0.8253790438080795,1.0,0.7909025714095383
horse,0.8703218272350435,0.6041817576153672,0.9353817405359353,0.9079823587284332,0.6821323158852208,1.0
