,airplane,automobile,deer,dog,frog,horse
frog,0.792799961070051,0.6995069092868664,0.8797218594180571,0.8439179625637241,1.0,0.7840533076613012
horse,0.8683156949602151,0.6399090852046416,0.9137581399776781,0.8917285379298208,0.6862885419276445,1.0
