,airplane,automobile,deer,dog,frog,horse,ship,truck
ship,0.9890451676384875,0.7700584902272598,0.8779431452701786,0.8054014041274165,0.7517870214657848,0.8480358552094214,1.0,0.9577289160614516
truck,0.928115060503358,0.9064064097358732,0.8268981246961735,0.8003819050121022,0.7278378148755771,0.8512204748632987,0.9591402103136174,1.0
